title|author|date|form|genre|published|pages|country|series|gender|favorite|blurb
It Walks by Night|John Dickson Carr|1/14/2026|Fiction|Mystery|1930|254|USA|Henri Becolin|Male||A locked-room murder mystery in a smokey Paris club with hints of the macabre.
Beautiful Monster|Suehiro Maruo|1/22/2026|Comics|Horror|1983|216|Japan||Male||Gross-out horror manga.
Steel Ball Run, Vol 5.|Hirohiko Araki|2/18/2026|Comics|Fantasy|2004|378|Japan|JoJo's Bizarre Adventure|Male||New stand users present new threats as our heroes acquire the spine.
The Man Who Died Seven Times|Yasuhiko Nishizawa|2/28/2026|Fiction|Mystery|1998|285|Japan||Male||A young man falls into a timeloop where every day ends with his grandfather dying—can he stop the murder?
Prince Valiant, Vol 1.|Hal Foster|3/2/2026|Comics|Fantasy|1938|120|USA|Prince Valiant|Male||The heroic prince begins his bildungsroman in beautifully illustrated fashion.
Oddbody|Rose Keating|3/11/2026|Fiction|Horror|2025|208|Ireland||Female||Visceral body horror on womanhood.
Lemon|Kwon Yeo-Sun|3/12/2026|Fiction|Mystery|2019|147|South Korea||Female||Seventeen years after a highschool girl is killed, those who knew her are reminded of the crime.
Steel Ball Run, Vol 6.|Hirohiko Araki|3/20/2026|Comics|Fantasy|2004|378|Japan|JoJo's Bizarre Adventure|Male||Johnny and Gyro continue onto Chicago in their search for the corpse.
Absolute Wonder Woman: The Last Amazon|Kelly Thompson|4/1/2026|Comics|Fantasy|2025|208|USA|Wonder Woman|Female||A re-imagining of Wonder Woman.
The Clock House Murders|Yukito Ayatsuji|4/6/2026|Fiction|Mystery|1991|416|Japan|House Murders|Male||A group of ghost hunters are invited to a bizarre house themed around clocks, and locked inside.
I Am Their Silence|Jordi Lafebre|4/7/2026|Comics|Mystery|2023|112|Spain|Je Suis|Male||A psychiatrist with her own mental health problems solves a murder of a wine magnate.
Through the Woods|EM Carroll|4/13/2026|Comics|Horror|2014|208|Canada||NB||A collection of five spooky stories from the woods.
Guilt|Keigo Higashino|4/14/2026|Fiction|Mystery|2021|416|Japan|Detective Godai|Male||A dead lawyer and a man's quick confession lead to a spiderweb stretching back decades.
World Heist|Linnea Sterte|4/14/2026|Comics|SciFi|2025|80|Sweden||Female||Two criminals go an inter-dimensional frolic to steal precious things.
Planet Money|Alex Mayyasi et al.|4/17/2026|Non-Fiction|Economics|2026|336|USA||Male||From the hosts of the NPR podcast, a tour of the economy.
